Census_Tract,Black Total Mortality,White Total Mortality,Total Mortality,Alzheimer's disease,Cancer,Chronic liver disease and cirrhosis,Chronic lower respiratory diseases,Diabetes,Flu and pneumonia,Heart disease,Homicide,Septicemia,Stroke,Suicide,Unintentional injuries
42003260700,27,57,84,0,17,0,0,0,0,18,0,5,6,0,5
42003260900,57,0,59,0,9,0,0,0,0,9,0,0,6,0,5
42003261200,12,52,64,0,13,0,0,0,0,13,0,0,0,0,0
42003261400,79,69,148,7,25,0,0,6,0,22,0,0,11,0,11
42003261500,73,59,132,0,26,0,6,0,0,39,5,0,8,0,12
42003262000,34,155,189,0,31,7,15,0,0,55,0,0,8,0,18
42003270100,23,95,118,0,23,0,7,0,0,30,0,8,0,0,8
42003270300,23,82,105,0,20,0,5,0,0,30,0,0,5,0,11
42003270400,13,29,42,0,10,0,0,0,0,13,0,0,0,0,0
42003270800,31,244,275,0,61,0,16,7,7,77,0,0,8,0,21
42003271500,35,102,137,0,34,0,9,0,0,36,0,0,0,0,14
42003281400,22,101,123,0,27,0,6,0,5,28,0,0,0,0,12
42003281500,0,51,54,0,11,0,0,0,0,10,0,0,0,0,8
42003290100,8,93,101,0,26,0,8,0,0,24,0,0,0,0,11
42003290200,12,167,179,0,43,7,18,0,0,43,0,0,9,0,12
42003290400,19,295,314,8,72,9,27,10,12,70,0,5,11,5,23
42003300100,69,114,183,0,38,0,15,5,0,45,0,5,10,0,24
42003310200,0,199,199,0,46,0,12,0,0,57,0,0,11,0,20
42003310300,0,51,55,0,15,0,0,0,0,11,0,0,0,0,0
42003320400,6,184,190,0,32,0,13,8,6,51,0,0,0,0,20
42003320600,0,89,90,0,15,0,5,0,0,17,0,0,6,0,8
42003320700,0,80,82,0,16,0,6,0,0,17,0,0,6,0,0
42003401100,0,277,279,9,62,8,16,0,0,72,0,8,14,5,19
42003401200,10,196,206,0,46,0,7,6,6,69,0,0,7,0,19
42003401300,0,184,184,10,41,0,8,0,0,49,0,0,8,0,10
42003402000,11,210,221,0,49,0,12,6,0,65,0,0,10,0,11
42003403500,18,270,288,8,63,6,14,5,0,81,0,5,5,9,26
42003404000,0,99,99,0,27,0,6,0,0,23,0,0,9,0,0
42003405000,0,74,74,5,16,0,0,0,0,15,0,0,0,0,0
42003406000,0,111,111,0,22,0,0,0,0,42,0,0,0,0,6
42003407001,0,322,324,6,89,7,14,12,0,71,0,10,17,0,26
42003407002,0,332,332,9,79,0,22,5,5,73,0,6,20,5,17
42003408001,0,402,403,9,68,0,19,7,10,108,0,9,19,5,19
42003408002,0,199,201,0,57,0,10,0,5,42,0,0,7,5,14
42003409000,0,262,266,12,53,0,7,0,5,76,0,5,15,5,17
42003410000,0,41,41,0,12,0,0,0,0,5,0,0,0,0,0
42003411000,0,184,186,0,45,0,9,0,0,54,0,0,5,0,10
42003412001,0,211,214,0,42,0,7,0,0,70,0,0,11,0,12
42003412002,0,146,146,0,31,0,0,0,5,42,0,0,0,0,6
42003413100,0,250,251,7,45,0,11,5,0,84,0,0,13,0,11
42003413201,0,147,148,0,37,0,0,0,0,41,0,0,5,0,7
42003413202,0,128,128,5,28,0,5,0,0,29,0,0,5,0,8
42003413300,0,301,303,16,48,0,14,10,8,85,0,0,19,0,6
42003413400,0,202,204,6,42,0,7,0,9,55,0,6,5,0,6
42003413500,0,401,402,19,70,0,17,8,5,122,0,0,24,0,17
42003414101,0,184,185,11,44,0,7,0,0,38,0,0,14,0,12
42003414102,0,324,325,9,71,0,16,0,6,89,0,0,19,5,19
42003414200,0,249,251,13,64,0,11,0,6,64,0,0,10,0,16
42003415001,0,238,241,20,48,0,7,0,0,55,0,0,15,0,12
42003415002,0,94,94,0,27,0,0,0,0,27,0,0,0,0,0
42003416000,0,123,124,0,26,0,0,5,5,37,0,0,5,0,0
42003417100,0,151,151,6,31,6,0,5,5,45,0,0,11,0,10
42003417200,0,86,86,0,21,0,8,0,0,23,0,0,0,0,8
42003418000,0,119,119,7,12,5,0,0,0,27,0,0,5,6,7
42003419000,0,295,297,11,61,0,14,5,6,82,0,5,12,0,22
42003420000,0,82,85,0,22,0,6,0,0,23,0,0,0,0,7
42003421100,13,325,338,17,80,7,21,5,8,71,0,0,18,6,12
42003421200,0,191,194,12,45,0,9,0,0,56,0,5,5,0,12
42003422000,0,142,144,13,32,0,5,0,0,28,0,0,0,0,8
